,search-number,evaluation,memory*,nchpercent*,trustindexmean*,initialexperience*,carepatchmean*,carefarmermean*,careothersmean*,fitness,num-replicates,best-fitness-so-far
300,3,150,20,0.92,0.87,7.4,0.15,0.09,0.44,0.2448994648317093,10,0.3957000584124001
301,3,160,8,0.31,0.52,5.3,0.27,0.03,0.31,0.3676539976999634,10,0.3957000584124001
302,3,170,18,0.17,0.34,7.0,0.0,0.38,0.62,0.2765874155285213,10,0.3957000584124001
303,3,180,18,0.62,0.5,8.0,0.71,0.79,0.81,0.406976559722753,10,0.406976559722753
304,3,190,18,0.15,0.42,7.4,0.07,0.86,0.98,0.299386179037363,10,0.406976559722753
305,3,200,14,0.53,0.36,8.2,0.79,0.07,0.94,0.3413862705443445,10,0.406976559722753
306,3,210,13,0.0,0.3,8.1,0.73,0.73,0.55,0.2560288875893903,10,0.406976559722753
307,3,220,11,0.75,0.23,5.0,0.03,0.11,0.33,0.2178826572602528,10,0.406976559722753
308,3,230,21,0.41,0.56,7.800000000000001,0.33,0.3,0.28,0.4298244673866797,10,0.4298244673866797
309,3,240,23,0.3,0.6,9.3,0.44,0.53,0.9,0.4164080020630497,10,0.4298244673866797
310,3,250,21,0.71,0.75,7.300000000000001,0.8,0.71,0.02,0.3641992874239416,10,0.4298244673866797
311,3,260,6,0.66,0.38,8.4,0.52,0.61,0.01,0.3410304483243365,10,0.4298244673866797
312,3,270,19,0.33,0.26,9.4,0.67,0.41,0.33,0.2327387164223146,10,0.4298244673866797
313,3,280,5,0.04,0.9,9.9,0.56,0.1,0.07,0.2507114046130981,10,0.4298244673866797
314,3,290,27,0.43,0.26,8.1,0.66,0.03,0.66,0.2415498776164094,10,0.4298244673866797
315,3,300,5,0.41,0.18,7.300000000000001,0.14,0.66,0.79,0.1945533093666439,10,0.4298244673866797
316,3,310,12,0.63,0.86,5.0,0.43,0.09,0.55,0.2621391760815826,10,0.4298244673866797
317,3,320,16,0.41,0.75,6.9,0.24,0.5700000000000001,0.08,0.3736004962636,10,0.4298244673866797
318,3,330,29,0.8,0.75,9.7,0.17,0.38,0.58,0.3514266871711315,10,0.4298244673866797
319,3,340,20,0.85,0.51,5.7,0.33,0.0,0.04,0.3989376451979733,10,0.4298244673866797
320,3,350,13,0.16,0.71,6.6,0.23,0.32,0.95,0.3877997862614014,10,0.4298244673866797
321,3,360,23,0.67,0.64,6.6,0.06,0.19,0.25,0.4106155585967975,10,0.4298244673866797
322,3,370,23,0.47,0.3,6.9,1.0,0.01,0.01,0.2873181220534289,10,0.4298244673866797
323,3,380,13,0.96,0.47,5.0,0.8200000000000001,0.31,0.95,0.3703502726945403,10,0.4298244673866797
324,3,390,18,0.22,0.67,9.0,0.6,0.19,0.6,0.3942768679734127,10,0.4298244673866797
325,3,400,13,0.24,0.98,7.2,0.45,0.99,0.12,0.1915711762878479,10,0.4298244673866797
326,3,410,24,0.75,0.64,6.6,0.88,0.38,0.11,0.3944917929865239,10,0.4298244673866797
327,3,420,17,0.78,0.52,6.1,0.6,0.8,0.34,0.3848501846029161,10,0.4298244673866797
328,3,430,26,0.4,0.3,9.6,0.19,0.95,0.1,0.2622673458108803,10,0.4298244673866797
329,3,440,24,0.55,0.7000000000000001,8.2,0.28,0.96,0.35,0.411768033744823,10,0.4298244673866797
